"state","acq_date","cumu_sum","rank","next_val"
"New South Wales",2019-11-01,3801,4,3852
"Northern Territory",2019-11-02,11171,1,11191
"Queensland",2019-11-02,5644,2,5670
"Western Australia",2019-11-02,5088,3,5291
"New South Wales",2019-11-02,3852,4,3864
"South Australia",2019-11-02,853,5,855
"Northern Territory",2019-11-03,11191,1,11197
"Queensland",2019-11-03,5670,2,5684
"Western Australia",2019-11-03,5291,3,5738
"New South Wales",2019-11-03,3864,4,3895
"South Australia",2019-11-03,855,5,863
"Northern Territory",2019-11-04,11197,1,11208
"Western Australia",2019-11-04,5738,2,5987
"Queensland",2019-11-04,5684,3,5711
"New South Wales",2019-11-04,3895,4,3925
"Northern Territory",2019-11-05,11208,1,11266
"Western Australia",2019-11-05,5987,2,6208
"Queensland",2019-11-05,5711,3,5753
"New South Wales",2019-11-05,3925,4,4058
"South Australia",2019-11-05,863,5,866
"Northern Territory",2019-11-06,11266,1,11278
"Western Australia",2019-11-06,6208,2,6388
"Queensland",2019-11-06,5753,3,5870
"New South Wales",2019-11-06,4058,4,5393
"South Australia",2019-11-06,866,5,872
"Northern Territory",2019-11-07,11278,1,11305
"Western Australia",2019-11-07,6388,2,6514
"Queensland",2019-11-07,5870,3,6021
"New South Wales",2019-11-07,5393,4,7665
"South Australia",2019-11-07,872,5,874
"Northern Territory",2019-11-08,11305,1,11340
"New South Wales",2019-11-08,7665,2,8795
"Western Australia",2019-11-08,6514,3,6663
"Queensland",2019-11-08,6021,4,6249
"Northern Territory",2019-11-09,11340,1,11420
"New South Wales",2019-11-09,8795,2,9495
"Western Australia",2019-11-09,6663,3,7026
"Queensland",2019-11-09,6249,4,6496
"Northern Territory",2019-11-10,11420,1,11495
"New South Wales",2019-11-10,9495,2,9717
"Western Australia",2019-11-10,7026,3,7176
"Queensland",2019-11-10,6496,4,6547
"South Australia",2019-11-10,874,5,876
"Northern Territory",2019-11-11,11495,1,11514
"New South Wales",2019-11-11,9717,2,11314
"Western Australia",2019-11-11,7176,3,7275
"Queensland",2019-11-11,6547,4,6746
"Northern Territory",2019-11-12,11514,1,11542
"New South Wales",2019-11-12,11314,2,11765
"Western Australia",2019-11-12,7275,3,7483
"Queensland",2019-11-12,6746,4,6864
"New South Wales",2019-11-13,11765,1,12274
"Northern Territory",2019-11-13,11542,2,11551
"Western Australia",2019-11-13,7483,3,7602
"Queensland",2019-11-13,6864,4,7044
"New South Wales",2019-11-14,12274,1,13240
"Northern Territory",2019-11-14,11551,2,11611
"Western Australia",2019-11-14,7602,3,7820
"Queensland",2019-11-14,7044,4,7152
"South Australia",2019-11-14,876,5,878
"New South Wales",2019-11-15,13240,1,13638
"Northern Territory",2019-11-15,11611,2,11660
"Western Australia",2019-11-15,7820,3,8005
"Queensland",2019-11-15,7152,4,7299
"New South Wales",2019-11-16,13638,1,13756
"Northern Territory",2019-11-16,11660,2,11790
"Western Australia",2019-11-16,8005,3,8345
"Queensland",2019-11-16,7299,4,7571
"Tasmania",2019-11-16,59,5,65
"New South Wales",2019-11-17,13756,1,14106
"Northern Territory",2019-11-17,11790,2,11825
"Western Australia",2019-11-17,8345,3,8601
"Queensland",2019-11-17,7571,4,7712
"New South Wales",2019-11-18,14106,1,14993
"Northern Territory",2019-11-18,11825,2,11886
"Western Australia",2019-11-18,8601,3,8858
"Queensland",2019-11-18,7712,4,7850
"South Australia",2019-11-18,878,5,883
"Tasmania",2019-11-18,65,6,69
"New South Wales",2019-11-19,14993,1,15185
"Northern Territory",2019-11-19,11886,2,12008
"Western Australia",2019-11-19,8858,3,9123
"Queensland",2019-11-19,7850,4,7902
"Tasmania",2019-11-19,69,5,70
"New South Wales",2019-11-20,15185,1,15684
"Northern Territory",2019-11-20,12008,2,12022
"Western Australia",2019-11-20,9123,3,9318
"Queensland",2019-11-20,7902,4,8010
"Tasmania",2019-11-20,70,5,71
"New South Wales",2019-11-21,15684,1,16182
"Northern Territory",2019-11-21,12022,2,12071
"Western Australia",2019-11-21,9318,3,9497
"Queensland",2019-11-21,8010,4,8038
"New South Wales",2019-11-22,16182,1,16317
"Northern Territory",2019-11-22,12071,2,12095
"Western Australia",2019-11-22,9497,3,9724
"Queensland",2019-11-22,8038,4,8161
"Victoria",2019-11-22,84,5,100
"New South Wales",2019-11-23,16317,1,16387
"Northern Territory",2019-11-23,12095,2,12131
"Western Australia",2019-11-23,9724,3,9996
"Queensland",2019-11-23,8161,4,8227
"Victoria",2019-11-23,100,5,143
"Tasmania",2019-11-23,71,6,75
"New South Wales",2019-11-24,16387,1,16541
"Northern Territory",2019-11-24,12131,2,12143
"Western Australia",2019-11-24,9996,3,10209
"Queensland",2019-11-24,8227,4,8279
"Victoria",2019-11-24,143,5,242
"Tasmania",2019-11-24,75,6,77
"New South Wales",2019-11-25,16541,1,16839
"Northern Territory",2019-11-25,12143,2,12174
"Western Australia",2019-11-25,10209,3,10345
"Queensland",2019-11-25,8279,4,8322
"South Australia",2019-11-25,883,5,884
"Victoria",2019-11-25,242,6,243
"New South Wales",2019-11-26,16839,1,16903
"Northern Territory",2019-11-26,12174,2,12226
"Western Australia",2019-11-26,10345,3,10597
"Queensland",2019-11-26,8322,4,8328
"New South Wales",2019-11-27,16903,1,17145
"Northern Territory",2019-11-27,12226,2,12260
"Western Australia",2019-11-27,10597,3,10644
"Queensland",2019-11-27,8328,4,8373
"Victoria",2019-11-27,243,5,249
"New South Wales",2019-11-28,17145,1,17349
"Northern Territory",2019-11-28,12260,2,12317
"Western Australia",2019-11-28,10644,3,10715
"Queensland",2019-11-28,8373,4,8413
"South Australia",2019-11-28,884,5,885
"Victoria",2019-11-28,249,6,292
"New South Wales",2019-11-29,17349,1,17403
"Northern Territory",2019-11-29,12317,2,12335
"Western Australia",2019-11-29,10715,3,10810
"Queensland",2019-11-29,8413,4,8505
"South Australia",2019-11-29,885,5,887
"Victoria",2019-11-29,292,6,293
"New South Wales",2019-11-30,17403,1,17792
"Northern Territory",2019-11-30,12335,2,12408
"Western Australia",2019-11-30,10810,3,10922
"Queensland",2019-11-30,8505,4,8590
"Victoria",2019-11-30,293,5,294
"New South Wales",2019-12-01,17792,1,18361
"Northern Territory",2019-12-01,12408,2,12439
"Western Australia",2019-12-01,10922,3,11056
"Queensland",2019-12-01,8590,4,8762
"New South Wales",2019-12-02,18361,1,19333
